// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2731, parallelism: 1.000, latency: 2586, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2049, parallelism: 1.000, latency: 2539, iter: 1 },


// Transfer(0.5): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 65537, parallelism: 0.000, latency: 126, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 32769, parallelism: 0.000, latency: 125, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 16385, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 8193, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 4097, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 2731, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 2049, parallelism: 0.000, latency: 124, iter: 1 },

{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.721, latency: 3158, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.845, latency: 3028, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 0.918, latency: 2839, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 0.958, latency: 2654, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 0.978, latency: 2604, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 0.985, latency: 2547, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 0.989, latency: 2580, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.942, latency: 4285, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.913, latency: 3406, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 0.937, latency: 2973, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 0.963, latency: 2708, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 0.980, latency: 2629, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 0.986, latency: 2555, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 0.989, latency: 2594, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.987, latency: 4774, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.921, latency: 3596, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 0.938, latency: 3054, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 0.963, latency: 2747, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 0.980, latency: 2641, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 0.986, latency: 2565, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 0.989, latency: 2583, iter: 3 },

{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.721, latency: 2000, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.845, latency: 1753, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 0.918, latency: 1625, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 0.958, latency: 1505, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 0.978, latency: 1376, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 0.985, latency: 1288, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 0.989, latency: 1277, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.942, latency: 2541, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.913, latency: 1888, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 0.937, latency: 1660, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 0.963, latency: 1511, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 0.980, latency: 1378, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 0.986, latency: 1288, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 0.989, latency: 1277, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.987, latency: 2667, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.921, latency: 1914, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 0.938, latency: 1665, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 0.963, latency: 1514, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 0.980, latency: 1378, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 0.986, latency: 1289, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 0.989, latency: 1277, iter: 3 },

{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 65537, parallelism: 0.721, latency: 3315, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 32769, parallelism: 0.893, latency: 3305, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 16385, parallelism: 0.973, latency: 3251, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 8193, parallelism: 0.994, latency: 3165, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 4097, parallelism: 0.999, latency: 3046, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 2731, parallelism: 0.999, latency: 2612, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 2049, parallelism: 1.000, latency: 2561, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 65537, parallelism: 0.721, latency: 3392, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 32769, parallelism: 0.893, latency: 3305, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 16385, parallelism: 0.973, latency: 3252, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 8193, parallelism: 0.994, latency: 3166, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 4097, parallelism: 0.999, latency: 3039, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 2731, parallelism: 0.999, latency: 2614, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 2049, parallelism: 1.000, latency: 2553, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 65537, parallelism: 0.721, latency: 3327, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 32769, parallelism: 0.893, latency: 3309, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 16385, parallelism: 0.973, latency: 3261, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 8193, parallelism: 0.994, latency: 3166, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 4097, parallelism: 0.999, latency: 3048, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 2731, parallelism: 0.999, latency: 2625, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 2049, parallelism: 1.000, latency: 2561, iter: 1 },
