// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2731, parallelism: 1.000, latency: 104, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2049, parallelism: 1.000, latency: 73, iter: 1 },


// Transfer(0.5): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 65537, parallelism: 0.000, latency: 126, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 32769, parallelism: 0.000, latency: 62, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 16385, parallelism: 0.000, latency: 31, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 8193, parallelism: 0.000, latency: 15, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 4097, parallelism: 0.000, latency: 7, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 2731, parallelism: 0.000, latency: 5, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 2049, parallelism: 0.000, latency: 3, iter: 1 },

{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.721, latency: 3269, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.844, latency: 1557, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 0.918, latency: 705, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 0.959, latency: 310, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 0.980, latency: 113, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 0.988, latency: 58, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 0.992, latency: 44, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.942, latency: 4411, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.981, latency: 1947, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 0.995, latency: 840, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 0.999, latency: 378, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 1.000, latency: 146, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 1.000, latency: 70, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 1.000, latency: 55, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 65537, parallelism: 0.987, latency: 4920, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 32769, parallelism: 0.998, latency: 2144, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 16385, parallelism: 1.000, latency: 935, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 8193, parallelism: 1.000, latency: 408, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 4097, parallelism: 1.000, latency: 162, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2731, parallelism: 1.000, latency: 79, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'address', size: 2049, parallelism: 1.000, latency: 55, iter: 3 },

{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.721, latency: 2251, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.844, latency: 983, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 0.918, latency: 456, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 0.959, latency: 212, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 0.980, latency: 94, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 0.988, latency: 60, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 0.992, latency: 45, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.942, latency: 2860, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.981, latency: 1139, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 0.995, latency: 496, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 0.999, latency: 220, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 1.000, latency: 97, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 1.000, latency: 60, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 1.000, latency: 45, iter: 2 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 65537, parallelism: 0.987, latency: 2994, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 32769, parallelism: 0.998, latency: 1163, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 16385, parallelism: 1.000, latency: 500, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 8193, parallelism: 1.000, latency: 221, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 4097, parallelism: 1.000, latency: 97, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2731, parallelism: 1.000, latency: 61, iter: 3 },
{workload: 'Transfer(0.5)', scheduling: 'read/write', size: 2049, parallelism: 1.000, latency: 45, iter: 3 },

{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 65537, parallelism: 0.721, latency: 3442, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 32769, parallelism: 0.844, latency: 1610, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 16385, parallelism: 0.918, latency: 797, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 8193, parallelism: 0.959, latency: 399, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 4097, parallelism: 0.980, latency: 185, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 2731, parallelism: 0.988, latency: 102, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(4)', size: 2049, parallelism: 0.992, latency: 73, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 65537, parallelism: 0.721, latency: 3452, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 32769, parallelism: 0.844, latency: 1614, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 16385, parallelism: 0.918, latency: 798, iter: 1 },
